chart,feature,status,support_meaning,evidence
argo-cd/argocd-image-updater@1.2.2,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,buildable_not_yet_run,existing-secret (buildable - not yet run),known build path exists but has not been promoted,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
argo-cd/argocd-image-updater@1.2.2,not_yet_enabled,"no-crds (template-baked CRDs, no toggle - #114)",hard gap or curated proof lane remains,data/chart-facts/chart-facts.csv;recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml;recipes/argo-cd/argocd-image-updater/1.2.2/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,existing_secret,n/a,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,crds,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,no_crds_variant,n/a (no CRDs),CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
autoscaler/cluster-autoscaler@9.57.0,buildable_not_yet_run,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml;recipes/autoscaler/cluster-autoscaler/9.57.0/weirdness-and-mitigations.md
